schema_version	route_id	candidate_id	gene	ensembl_gene_id	phase18_context	qtl_source_id	cohort	modality	cell_type	biosample_type	tissue_category	context_match	context_priority	eligible	genome_build	base_context_id	release_components	source_files	source_selection_state
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1_2_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0028	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP_CUIMC1_2_MIT	snuc-eQTL	Inhibitory neuron	Primary cell	Brain	exact_inhibitory	1	TRUE	hg38	NGFGXQTL0028	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1_2_MIT/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1_2_MIT/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1_2_MIT/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1_2_MIT/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0016	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP_CUIMC1	snuc-eQTL	Inhibitory neuron	Primary cell	Brain	exact_inhibitory	1	TRUE	hg38	NGFGXQTL0016	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_CUIMC1/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0022	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP_MIT	snuc-eQTL	Inhibitory neuron	Primary cell	Brain	exact_inhibitory	1	TRUE	hg38	NGFGXQTL0022	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_MIT/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_MIT/snuc-eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_MIT/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP_MIT/snuc-eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0001	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_10__NGFGXQTL0008	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	MSBB	eQTL	Frontal cortex Brodmann Area 10	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0008	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_22__NGFGXQTL0009	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	MSBB	eQTL	Frontal cortex Brodmann Area 22	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0009	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	MSBB	eQTL	Frontal cortex Brodmann Area 36	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0010	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_44__NGFGXQTL0011	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	MSBB	eQTL	Frontal cortex Brodmann Area 44	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0011	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Anterior_caudate__NGFGXQTL0032	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	eQTL	Anterior caudate	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0032	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0033	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	eQTL	Dorsolateral prefrontal cortex	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0033	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Posterior_cingulate_cortex__NGFGXQTL0035	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	eQTL	Posterior cingulate cortex	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0035	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.PCC.NGFGXQTL0035_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.PCC.NGFGXQTL0035_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.PCC.NGFGXQTL0035_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.eQTL.PCC.NGFGXQTL0035_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Anterior_caudate__NGFGXQTL0039	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	sQTL	Anterior caudate	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0039	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.AC.NGFGXQTL0039_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.AC.NGFGXQTL0039_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.AC.NGFGXQTL0039_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.AC.NGFGXQTL0039_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0040	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	sQTL	Dorsolateral prefrontal cortex	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0040	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.DLPFC.NGFGXQTL0040_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.DLPFC.NGFGXQTL0040_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.DLPFC.NGFGXQTL0040_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.DLPFC.NGFGXQTL0040_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Posterior_cingulate_cortex__NGFGXQTL0041	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	ROSMAP	sQTL	Posterior cingulate cortex	Primary tissue	Brain	bulk_brain_fallback	4	TRUE	hg38	NGFGXQTL0041	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.PCC.NGFGXQTL0041_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.PCC.NGFGXQTL0041_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.PCC.NGFGXQTL0041_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/ROSMAP/sQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.ROSMAP.sQTL.PCC.NGFGXQTL0041_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	5	TRUE	hg38	NGFGXQTL0003	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__pQTL__Parahippocampal_gyrus__NGFGXQTL0013	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	NG00184.v1	MSBB	pQTL	Parahippocampal gyrus	Primary tissue	Brain	protein_level_fallback	5	TRUE	hg38	NGFGXQTL0013	hmt_significant;single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.pQTL.PHG.NGFGXQTL0013_v1_19_indel_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.MSBB.pQTL.PHG.NGFGXQTL0013_v1_19_snp_hmt.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.pQTL.PHG.NGFGXQTL0013_v1_19_indel_scfmAll.20260330.bed.gz;data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/MSBB/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.MSBB.pQTL.PHG.NGFGXQTL0013_v1_19_snp_scfmAll.20260330.bed.gz	frozen_before_RPS15_lookup
