schema_version	comparison_id	route_id	candidate_id	gene	broad_network	case_id	qtl_type	dataset_id	context_match_level	gwas_min_p	terminal_state	reason	decision_rule
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R011	T2R011	GS006	COX6B1	Excitatory_neurons	mt_driver	eQTL	QTD000569	lineage	3.932e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R012	T2R012	GS006	COX6B1	Excitatory_neurons	mt_driver	sQTL	QTD000573	lineage	3.932e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R013	T2R013	GS007	COX7C	Astrocytes	mt_driver	eQTL	QTD000579	bulk_brain_fallback	8.579e-14	no_regional_qtl_signal	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R014	T2R014	GS007	COX7C	Astrocytes	mt_driver	sQTL	QTD000583	bulk_brain_fallback	8.579e-14	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R015	T2R015	GS008	COX7C	Inhibitory_neurons	mt_driver	eQTL	QTD000569	lineage	8.579e-14	no_regional_qtl_signal	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R016	T2R016	GS008	COX7C	Inhibitory_neurons	mt_driver	sQTL	QTD000573	lineage	8.579e-14	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R017	T2R017	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	eQTL	QTD000569	lineage	6.079e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R018	T2R018	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	sQTL	QTD000573	lineage	6.079e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R019	T2R019	GS010	FTL	OPCs	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	5.711e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R020	T2R020	GS010	FTL	OPCs	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	5.711e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R021	T2R021	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	eQTL	QTD000569	lineage	6.605e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R022	T2R022	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	sQTL	QTD000573	lineage	6.605e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R023	T2R023	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	eQTL	QTD000569	lineage	6.605e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R024	T2R024	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	sQTL	QTD000573	lineage	6.605e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R025	T2R025	GS013	LAPTM4A	Astrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	5.651e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R026	T2R026	GS013	LAPTM4A	Astrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	5.651e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R027	T2R027	GS034	NCOA1	OPCs	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	1.213e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R028	T2R028	GS034	NCOA1	OPCs	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	1.213e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R029	T2R029	GS035	RPL11	Astrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R030	T2R030	GS035	RPL11	Astrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R031	T2R031	GS036	RPL11	Excitatory_neurons	non_mt_driver	eQTL	QTD000569	lineage	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R032	T2R032	GS036	RPL11	Excitatory_neurons	non_mt_driver	sQTL	QTD000573	lineage	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R033	T2R033	GS037	RPL11	Microglia	non_mt_driver	eQTL	QTD000559	exact	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R034	T2R034	GS037	RPL11	Microglia	non_mt_driver	sQTL	QTD000563	exact	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R035	T2R035	GS038	RPL11	Oligodendrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R036	T2R036	GS038	RPL11	Oligodendrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	8.157e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R037	T2R037	GS039	RPL15	Astrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	2.677e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R038	T2R038	GS039	RPL15	Astrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	2.677e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R039	T2R039	GS040	RPL38	Inhibitory_neurons	non_mt_driver	eQTL	QTD000569	lineage	1.05e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R040	T2R040	GS040	RPL38	Inhibitory_neurons	non_mt_driver	sQTL	QTD000573	lineage	1.05e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R041	T2R041	GS041	RPLP1	Astrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	0.0002931	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R042	T2R042	GS041	RPLP1	Astrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	0.0002931	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R043	T2R043	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	eQTL	QTD000569	lineage	0.0002931	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R044	T2R044	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	sQTL	QTD000573	lineage	0.0002931	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R045	T2R045	GS043	RPS13	Excitatory_neurons	non_mt_driver	eQTL	QTD000569	lineage	8.997e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R046	T2R046	GS043	RPS13	Excitatory_neurons	non_mt_driver	sQTL	QTD000573	lineage	8.997e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R047	T2R047	GS044	RPS15	Inhibitory_neurons	non_mt_driver	eQTL	QTD000569	lineage	4.089e-30	no_regional_qtl_signal	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R048	T2R048	GS044	RPS15	Inhibitory_neurons	non_mt_driver	sQTL	QTD000573	lineage	4.089e-30	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R049	T2R049	GS045	RPS15	OPCs	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	4.089e-30	model_or_ld_incompatible	dense_regional_eqtl_signal_present_but_released_susie_model_absent_and_qtl_ancestry_matched_ld_unavailable	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R050	T2R050	GS045	RPS15	OPCs	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	4.089e-30	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R051	T2R051	GS046	SELENOW	Excitatory_neurons	non_mt_driver	eQTL	QTD000569	lineage	6.41e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R052	T2R052	GS046	SELENOW	Excitatory_neurons	non_mt_driver	sQTL	QTD000573	lineage	6.41e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R053	T2R053	GS047	UQCR10	Excitatory_neurons	mt_driver	eQTL	QTD000569	lineage	1.248e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R054	T2R054	GS047	UQCR10	Excitatory_neurons	mt_driver	sQTL	QTD000573	lineage	1.248e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
